Time;PJMW_MW
24.04.2017 0:00;4166
24.04.2017 1:00;4005
24.04.2017 2:00;3956
24.04.2017 3:00;3948
24.04.2017 4:00;3990
24.04.2017 5:00;4118
24.04.2017 6:00;4376
24.04.2017 7:00;4907
24.04.2017 8:00;5202
24.04.2017 9:00;5313
24.04.2017 10:00;5317
24.04.2017 11:00;5342
24.04.2017 12:00;5357
24.04.2017 13:00;5315
24.04.2017 14:00;5273
24.04.2017 15:00;5229
24.04.2017 16:00;5176
24.04.2017 17:00;5220
24.04.2017 18:00;5298
24.04.2017 19:00;5346
24.04.2017 20:00;5388
24.04.2017 21:00;5626
24.04.2017 22:00;5397
24.04.2017 23:00;5015
25.04.2017 0:00;4681
25.04.2017 1:00;4428
25.04.2017 2:00;4343
25.04.2017 3:00;4195
25.04.2017 4:00;4189
25.04.2017 5:00;4338
25.04.2017 6:00;4576
25.04.2017 7:00;5049
25.04.2017 8:00;5224
25.04.2017 9:00;5204
25.04.2017 10:00;5239
25.04.2017 11:00;5323
25.04.2017 12:00;5280
25.04.2017 13:00;5283
25.04.2017 14:00;5222
25.04.2017 15:00;5201
25.04.2017 16:00;5129
25.04.2017 17:00;5179
25.04.2017 18:00;5159
25.04.2017 19:00;5151
25.04.2017 20:00;5250
25.04.2017 21:00;5459
25.04.2017 22:00;5253
25.04.2017 23:00;4903
26.04.2017 0:00;4523
26.04.2017 1:00;4317
26.04.2017 2:00;4194
26.04.2017 3:00;4132
26.04.2017 4:00;4079
26.04.2017 5:00;4194
26.04.2017 6:00;4428
26.04.2017 7:00;4876
26.04.2017 8:00;5122
26.04.2017 9:00;5137
26.04.2017 10:00;5104
26.04.2017 11:00;5182
26.04.2017 12:00;5123
26.04.2017 13:00;5083
26.04.2017 14:00;5181
26.04.2017 15:00;5241
26.04.2017 16:00;5304
26.04.2017 17:00;5340
26.04.2017 18:00;5386
26.04.2017 19:00;5448
26.04.2017 20:00;5459
26.04.2017 21:00;5669
26.04.2017 22:00;5539
26.04.2017 23:00;5080
27.04.2017 0:00;4618
27.04.2017 1:00;4334
27.04.2017 2:00;4127
27.04.2017 3:00;4047
27.04.2017 4:00;3997
27.04.2017 5:00;4109
27.04.2017 6:00;4321
27.04.2017 7:00;4750
27.04.2017 8:00;5025
27.04.2017 9:00;5140
27.04.2017 10:00;5232
27.04.2017 11:00;5319
27.04.2017 12:00;5377
27.04.2017 13:00;5418
27.04.2017 14:00;5508
27.04.2017 15:00;5533
27.04.2017 16:00;5588
27.04.2017 17:00;5634
27.04.2017 18:00;5603
27.04.2017 19:00;5588
27.04.2017 20:00;5558
27.04.2017 21:00;5714
27.04.2017 22:00;5484
27.04.2017 23:00;5066
28.04.2017 0:00;4670
28.04.2017 1:00;4344
28.04.2017 2:00;4126
28.04.2017 3:00;4003
28.04.2017 4:00;3972
28.04.2017 5:00;3996
28.04.2017 6:00;4228
28.04.2017 7:00;4656
28.04.2017 8:00;4948
28.04.2017 9:00;5051
28.04.2017 10:00;5141
28.04.2017 11:00;5087
28.04.2017 12:00;5268
28.04.2017 13:00;5344
28.04.2017 14:00;5408
28.04.2017 15:00;5468
28.04.2017 16:00;5530
28.04.2017 17:00;5579
28.04.2017 18:00;5525
28.04.2017 19:00;5483
28.04.2017 20:00;5388
28.04.2017 21:00;5461
28.04.2017 22:00;5333
28.04.2017 23:00;4920
29.04.2017 0:00;4595
29.04.2017 1:00;4235
29.04.2017 2:00;4055
29.04.2017 3:00;3907
29.04.2017 4:00;3825
29.04.2017 5:00;3816
29.04.2017 6:00;3889
29.04.2017 7:00;4063
29.04.2017 8:00;4207
29.04.2017 9:00;4424
29.04.2017 10:00;4646
29.04.2017 11:00;4758
29.04.2017 12:00;4894
29.04.2017 13:00;4984
29.04.2017 14:00;5078
29.04.2017 15:00;5116
29.04.2017 16:00;5214
29.04.2017 17:00;5321
29.04.2017 18:00;5428
29.04.2017 19:00;5435
29.04.2017 20:00;5339
29.04.2017 21:00;5384
29.04.2017 22:00;5225
29.04.2017 23:00;4854
